Station Name,City
Astor Pl,New York
Canal St,New York
50th St,New York
Bergen St,New York
Pennsylvania Ave,New York
238th St,New York
Cathedral Pkwy (110th St),New York
Kingston - Throop Aves,New York
65th St,New York
36th St,New York
Delancey St - Essex St,New York
Van Siclen Ave,New York
Norwood Ave,New York
104th-102nd Sts,New York
DeKalb Ave,New York
Beach 105th St,New York
Beach 90th St,New York
Freeman St,New York
Intervale Ave,New York
182nd-183rd Sts,New York
174th-175th Sts,New York
167th St,New York
Mets - Willets Point,New York
Junction Blvd,New York
Flushing - Main St,New York
Buhre Ave,New York
3rd Ave - 138th St,New York
Castle Hill Ave,New York
Brooklyn Bridge - City Hall,New York
Zerega Ave,New York
Grand Central - 42nd St,New York
33rd St,New York
96th St,New York
77th St,New York
Chauncey St,New York
Union St,New York
Elmhurst Ave,New York
Ralph Ave,New York
Pelham Pkwy,New York
Gun Hill Rd,New York
Nereid Ave (238 St),New York
Franklin Ave,New York
Simpson St,New York
Bronx Park East,New York
Winthrop St,New York
Van Siclen Ave,New York
149th St - Grand Concourse,New York
161st St - Yankee Stadium,New York
Lexington Ave - 59th St,New York
E 149th St,New York
Morrison Av - Soundview,New York
Whitlock Ave,New York
St Lawrence Ave,New York
Woodside - 61st St,New York
Far Rockaway - Mott Ave,New York
72nd St,New York
96th St,New York
168th St,New York
Kingsbridge Rd,New York
42nd St - Bryant Pk,New York
Prospect Park,New York
55th St,New York
Jamaica - Van Wyck,New York
Kew Gardens - Union Tpke,New York
Sutphin Blvd - Archer Av,New York
Court Sq - 23rd St,New York
67th Ave,New York
Grand Ave - Newtown,New York
Ditmas Ave,New York
Classon Ave,New York
Broadway,New York
Lorimer St,New York
Sutter Ave,New York
Wilson Ave,New York
Halsey St,New York
Lorimer St,New York
8th Ave,New York
36th Ave,New York
Broadway,New York
Times Sq - 42nd St,New York
Grand Central - 42nd St,New York
Park Pl,New York
111th St,New York
W 4th St - Washington Sq (Lower),New York
51st St,New York
86th St,New York
233rd St,New York
66th St - Lincoln Ctr,New York
Hunts Point Ave,New York
Canal St,New York
Middletown Rd,New York
23rd St,New York
Court Sq,New York
59th St - Columbus Circle,New York
Hunters Point Ave,New York
23rd St,New York
Houston St,New York
104th St,New York
Broad Channel,New York
Ocean Pkwy,New York
Vernon Blvd - Jackson Ave,New York
68th St - Hunter College,New York
Queensboro Plz,New York
Rockaway Blvd,New York
Union Sq - 14th St,New York
Bedford - Nostrand Aves,New York
15th St - Prospect Park,New York
7th Ave,New York
Ft Hamilton Pkwy,New York
Church Ave,New York
Beverly Rd,New York
Church Ave,New York
Newkirk Ave,New York
Parkside Ave,New York
Grand Army Plaza,New York
Atlantic Av - Barclay's Center,New York
Rockaway Ave,New York
Fulton St,New York
Clinton - Washington Aves,New York
7th Ave,New York
Atlantic Av - Barclay's Center,New York
Atlantic Av - Barclay's Center,New York
Borough Hall,New York
Aqueduct Racetrack,New York
Morris Park,New York
Pelham Pkwy,New York
Nostrand Ave,New York
Nevins St,New York
Eastern Pkwy - Bklyn Museum,New York
Beverly Rd,New York
Church Ave,New York
Newkirk Ave,New York
Brooklyn College - Flatbush Ave,New York
Sterling St,New York
Crown Hts - Utica Ave,New York
Kingston Ave,New York
Nassau Ave,New York
Greenpoint Ave,New York
Marcy Ave,New York
Hewes St,New York
138th St - Grand Concourse,New York
5th Ave - 53rd St,New York
Lexington Ave - 53rd St,New York
28th St,New York
Herald Sq - 34th St,New York
1st Ave,New York
Times Sq - 42nd St,New York
Metropolitan Ave,New York
Grand St,New York
Graham Ave,New York
Bedford Ave,New York
Montrose Ave,New York
Long Island City - Court Sq,New York
21st St,New York
39th Ave,New York
145th St,New York
157th St,New York
96th St,New York
103rd St,New York
Central Park North (110th St),New York
103rd St,New York
72nd St,New York
81st St,New York
75th Ave,New York
86th St,New York
Cathedral Pkwy (110th St),New York
116th St - Columbia University,New York
125th St,New York
135th St,New York
116th St,New York
Tremont Ave,New York
137th St - City College,New York
145th St,New York
176th St,New York
Burnside Ave,New York
170th St,New York
168th St,New York
181st St,New York
191st St,New York
175th St,New York
Beach 44th St,New York
Beach 60th St,New York
Beach 98th St,New York
Rockaway Park - Beach 116 St,New York
Beach 36th St,New York
Beach 25th St,New York
Parsons Blvd,New York
169th St,New York
103rd St - Corona Plaza,New York
111th St,New York
63rd Dr - Rego Park,New York
Grant Ave,New York
79th St,New York
Atlantic Ave,New York
Christopher St - Sheridan Sq,New York
Ozone Park - Lefferts Blvd,New York
